eigen_values;results
['8.65685424949238', '-2.65685424949238'];1
['-7.0', '-6.0'];0
['(-1.9999999999999998+3.000000000000001j)', '(-1.9999999999999998-3.000000000000001j)'];0
['-8.82842712474619', '-3.17157287525381'];0
['13.577747210701755', '-2.577747210701756'];1
['4.424428900898052', '-5.424428900898053'];1
['(6.999999999999999+1.4142135623730947j)', '(6.999999999999999-1.4142135623730947j)'];1
['-1.0000000000000009', '9.0'];1
['(-5.5+5.454356057317858j)', '(-5.5-5.454356057317858j)'];0
['(6.5+2.598076211353316j)', '(6.5-2.598076211353316j)'];1
['-6.16227766016838', '0.16227766016837908'];1
['10.348469228349533', '-4.348469228349535'];1
['-8.865459931328118', '5.865459931328117'];1
['1.2662812973353965', '-10.266281297335398'];1
['7.178908345800274', '-4.178908345800274'];1
['(2+2.82842712474619j)', '(2-2.82842712474619j)'];1
['(-3.5+0.8660254037844388j)', '(-3.5-0.8660254037844388j)'];0
['(1.9999999999999996+8.24621125123532j)', '(1.9999999999999996-8.24621125123532j)'];1
['-5.0', '3.0'];1
['(5.500000000000001+5.26782687642637j)', '(5.500000000000001-5.26782687642637j)'];1
['-8.424428900898052', '1.4244289008980524'];1
['(0.4999999999999997+3.4278273002005224j)', '(0.4999999999999997-3.4278273002005224j)'];1
['10.831760866327848', '-6.831760866327847'];1
['-1.83772233983162', '-8.16227766016838'];0
['(-4.5+1.9364916731037083j)', '(-4.5-1.9364916731037083j)'];0
['(1.5+1.9364916731037085j)', '(1.5-1.9364916731037085j)'];1
['(-3.000000000000001+1.7320508075688772j)', '(-3.000000000000001-1.7320508075688772j)'];0
['(-4.5+6.614378277661476j)', '(-4.5-6.614378277661476j)'];0
['(-1.9999999999999996+3.7416573867739404j)', '(-1.9999999999999996-3.7416573867739404j)'];0
['-13.816653826391967', '7.816653826391969'];1
['(7+2.82842712474619j)', '(7-2.82842712474619j)'];1
['11.291502622129181', '0.7084973778708195'];1
['8.348469228349533', '-6.3484692283495345'];1
['(-3.5+3.122498999199199j)', '(-3.5-3.122498999199199j)'];0
['(-7.999999999999999+1.9999999999999993j)', '(-7.999999999999999-1.9999999999999993j)'];0
['7.865459931328118', '-6.865459931328118'];1
['-8.761355820929154', '7.761355820929153'];1
['(-2+4.898979485566357j)', '(-2-4.898979485566357j)'];0
['0.0', '-9.0'];1
['3.0000000471216093', '2.9999999528783907'];1
['5.0', '-4.0'];1
['(0.5000000000000004+5.979130371550698j)', '(0.5000000000000004-5.979130371550698j)'];1
['(-1.5+2.3979157616563596j)', '(-1.5-2.3979157616563596j)'];0
['-4.385164807134505', '6.385164807134504'];1
['6.79128784747792', '2.2087121525220805'];1
['-0.8150729063673232', '9.815072906367325'];1
['(-6.999999999999998+6.403124237432847j)', '(-6.999999999999998-6.403124237432847j)'];0
['5.772001872658766', '-2.7720018726587656'];1
['-3.0', '-8.0'];0
['-7.274917217635375', '0.2749172176353749'];1
['(4.5+4.213074886588179j)', '(4.5-4.213074886588179j)'];1
['(-0.5000000000000003+2.179449471770337j)', '(-0.5000000000000003-2.179449471770337j)'];0
['(8.5+5.894913061275797j)', '(8.5-5.894913061275797j)'];1
['8.477225575051662', '-2.4772255750516607'];1
['6.88748219369606', '-1.887482193696061'];1
['-5.0', '-6.0'];0
['4.854101966249685', '-1.8541019662496845'];1
['9.47213595499958', '0.5278640450004208'];1
['(2+6.324555320336759j)', '(2-6.324555320336759j)'];1
['2.3166247903554', '-4.3166247903554'];1
['(-4+8.246211251235321j)', '(-4-8.246211251235321j)'];0
['5.7912878474779195', '1.20871215252208'];1
['-1.0000000000000009', '-13.000000000000002'];0
['(0.9999999999999999+2.449489742783178j)', '(0.9999999999999999-2.449489742783178j)'];1
['-10.62414379544733', '7.6241437954473295'];1
['-2.0', '9.0'];1
['(3.5+3.1224989991991987j)', '(3.5-3.1224989991991987j)'];1
['10.291502622129181', '-0.291502622129181'];1
['(5.5+4.873397172404482j)', '(5.5-4.873397172404482j)'];1
['9.104686356149273', '-10.104686356149273'];1
['9.0', '-4.0'];1
['(0.49999999999999994+1.9364916731037083j)', '(0.49999999999999994-1.9364916731037083j)'];1
['4.0', '-2.0'];1
['-8.424428900898054', '1.424428900898052'];1
['(7+5.830951894845301j)', '(7-5.830951894845301j)'];1
['(-6.5+3.1224989991991987j)', '(-6.5-3.1224989991991987j)'];0
['(-3+7.348469228349534j)', '(-3-7.348469228349534j)'];0
['-9.0', '0.0'];1
['3.552713678800501e-15', '0.9999999999999964'];1
['-6.0', '11.0'];1
['-3.815072906367323', '6.815072906367325'];1
['(7.499999999999999+4.873397172404481j)', '(7.499999999999999-4.873397172404481j)'];1
['12.21110255092798', '-2.2111025509279782'];1
['5.681145747868609', '-9.681145747868609'];1
['3.4721359549995796', '-5.47213595499958'];1
['(-3.5+3.4278273002005215j)', '(-3.5-3.4278273002005215j)'];0
['11.300735254367723', '-2.300735254367721'];1
